anno,area,scopo,notti
2017,ITF6,HOLL,8117000
2017,ITF6,HOLS,671000
2017,ITF6,TRIP,9211000
2017,ITG1,BUS,515000
2017,ITG1,HOL,20828000
2017,ITG1,HOLL,19150000
2017,ITG1,HOLS,1678000
2017,ITG1,TRIP,21344000
2017,ITG2,BUS,453000
2017,ITG2,HOL,19444000
2017,ITG2,HOLL,18214000
2017,ITG2,HOLS,1230000
2017,ITG2,TRIP,19897000
2018,IT,BUS,18338000
2018,IT,HOL,291848000
2018,IT,HOLL,236701000
2018,IT,HOLS,55146000
2018,IT,TRIP,310186000
2018,ITC1,BUS,1505000
2018,ITC1,HOL,7973000
2018,ITC1,HOLL,5302000
2018,ITC1,HOLS,2671000
2018,ITC1,TRIP,9478000
2018,ITC2,BUS,0
2018,ITC2,HOL,2442000
2018,ITC2,HOLL,1348000
2018,ITC2,HOLS,1094000
2018,ITC2,TRIP,2442000
2018,ITC3,BUS,635000
2018,ITC3,HOL,18586000
2018,ITC3,HOLL,15359000
2018,ITC3,HOLS,3228000
2018,ITC3,TRIP,19222000
2018,ITC4,BUS,3131000
2018,ITC4,HOL,18426000
2018,ITC4,HOLL,13246000
2018,ITC4,HOLS,5179000
2018,ITC4,TRIP,21556000
2018,ITD1,BUS,174000
2018,ITD1,HOL,10604000
2018,ITD1,HOLL,8432000
2018,ITD1,HOLS,2172000
2018,ITD1,TRIP,10778000
2018,ITD2,BUS,52000
2018,ITD2,HOL,11378000
2018,ITD2,HOLL,10329000
2018,ITD2,HOLS,1049000
2018,ITD2,TRIP,11430000
2018,ITD3,BUS,2860000
2018,ITD3,HOL,19246000
2018,ITD3,HOLL,14380000
2018,ITD3,HOLS,4866000
2018,ITD3,TRIP,22106000
2018,ITD4,BUS,209000
2018,ITD4,HOL,5366000
2018,ITD4,HOLL,3768000
2018,ITD4,HOLS,1598000
2018,ITD4,TRIP,5575000
2018,ITD5,BUS,1157000
2018,ITD5,HOL,26133000
2018,ITD5,HOLL,21094000
2018,ITD5,HOLS,5039000
2018,ITD5,TRIP,27290000
2018,ITE1,BUS,1377000
2018,ITE1,HOL,25298000
2018,ITE1,HOLL,17383000
2018,ITE1,HOLS,7915000
2018,ITE1,TRIP,26675000
2018,ITE2,BUS,309000
2018,ITE2,HOL,3016000
2018,ITE2,HOLL,1802000
2018,ITE2,HOLS,1214000
2018,ITE2,TRIP,3325000
2018,ITE3,BUS,430000
2018,ITE3,HOL,7190000
2018,ITE3,HOLL,6080000
2018,ITE3,HOLS,1110000
2018,ITE3,TRIP,7620000
2018,ITE4,BUS,2109000
2018,ITE4,HOL,17955000
2018,ITE4,HOLL,11552000
2018,ITE4,HOLS,6403000
2018,ITE4,TRIP,20064000
2018,ITF1,BUS,385000
2018,ITF1,HOL,7777000
2018,ITF1,HOLL,6235000
2018,ITF1,HOLS,1542000
2018,ITF1,TRIP,8162000
2018,ITF2,BUS,30000
2018,ITF2,HOL,565000
2018,ITF2,HOLL,456000
2018,ITF2,HOLS,110000
2018,ITF2,TRIP,595000
2018,ITF3,BUS,1505000
2018,ITF3,HOL,18412000
2018,ITF3,HOLL,14712000
2018,ITF3,HOLS,3700000
2018,ITF3,TRIP,19917000
2018,ITF4,BUS,601000
2018,ITF4,HOL,34770000
2018,ITF4,HOLL,32023000
2018,ITF4,HOLS,2747000
2018,ITF4,TRIP,35371000
2018,ITF5,BUS,206000
2018,ITF5,HOL,2845000
2018,ITF5,HOLL,2681000
2018,ITF5,HOLS,165000
2018,ITF5,TRIP,3051000
2018,ITF6,BUS,86000
2018,ITF6,HOL,19499000
2018,ITF6,HOLL,18386000
2018,ITF6,HOLS,1113000
2018,ITF6,TRIP,19585000
2018,ITG1,BUS,1331000
2018,ITG1,HOL,17190000
2018,ITG1,HOLL,15978000
2018,ITG1,HOLS,1212000
2018,ITG1,TRIP,18521000
2018,ITG2,BUS,246000
2018,ITG2,HOL,17177000
2018,ITG2,HOLL,16156000
2018,ITG2,HOLS,1021000
2018,ITG2,TRIP,17423000
2019,IT,BUS,17281000
2019,IT,HOL,261277000
2019,IT,HOLL,214257000
2019,IT,HOLS,47021000
2019,IT,TRIP,278558000
2019,ITC1,BUS,744000
2019,ITC1,HOL,10393000
2019,ITC1,HOLL,7423000
2019,ITC1,HOLS,2969000
2019,ITC1,TRIP,11136000
2019,ITC2,HOL,2737000
2019,ITC2,HOLL,1745000
2019,ITC2,HOLS,992000
2019,ITC2,TRIP,2748000
2019,ITC3,BUS,181000
2019,ITC3,HOL,20136000
2019,ITC3,HOLL,17522000
2019,ITC3,HOLS,2615000
2019,ITC3,TRIP,20317000
2019,ITC4,BUS,3095000
2019,ITC4,HOL,14988000
2019,ITC4,HOLL,10724000
2019,ITC4,HOLS,4263000
2019,ITC4,TRIP,18083000
2019,ITD1,BUS,340000
2019,ITD1,HOL,4919000
2019,ITD1,HOLL,3653000
2019,ITD1,HOLS,1265000
2019,ITD1,TRIP,5259000
2019,ITD2,BUS,550000
2019,ITD2,HOL,13794000
2019,ITD2,HOLL,12315000
2019,ITD2,HOLS,1480000
2019,ITD2,TRIP,14344000
2019,ITD3,BUS,726000
2019,ITD3,HOL,16597000
2019,ITD3,HOLL,11581000
2019,ITD3,HOLS,5015000
2019,ITD3,TRIP,17323000
2019,ITD4,BUS,564000
2019,ITD4,HOL,5223000
2019,ITD4,HOLL,4107000
2019,ITD4,HOLS,1116000
2019,ITD4,TRIP,5787000
2019,ITD5,BUS,1960000
2019,ITD5,HOL,25254000
2019,ITD5,HOLL,20635000
2019,ITD5,HOLS,4620000
2019,ITD5,TRIP,27215000
2019,ITE1,BUS,1790000
2019,ITE1,HOL,21347000
2019,ITE1,HOLL,14450000
2019,ITE1,HOLS,6897000
2019,ITE1,TRIP,23137000
2019,ITE2,BUS,191000
2019,ITE2,HOL,2694000
2019,ITE2,HOLL,1490000
2019,ITE2,HOLS,1205000
2019,ITE2,TRIP,2886000
2019,ITE3,BUS,283000
2019,ITE3,HOL,13584000
2019,ITE3,HOLL,12313000
2019,ITE3,HOLS,1272000
2019,ITE3,TRIP,13868000
2019,ITE4,BUS,2271000
2019,ITE4,HOL,12455000
2019,ITE4,HOLL,7793000
2019,ITE4,HOLS,4662000
2019,ITE4,TRIP,14727000
2019,ITF1,BUS,150000
2019,ITF1,HOL,8598000
2019,ITF1,HOLL,7467000
2019,ITF1,HOLS,1131000
