date,provincia,origine,presenze
2021-09-01,L'Aquila,estero,10973.0
2021-10-01,L'Aquila,estero,4229.0
2021-11-01,L'Aquila,estero,1876.0
2021-12-01,L'Aquila,estero,2102.0
2022-01-01,L'Aquila,estero,2900.0
2022-02-01,L'Aquila,estero,4067.0
2022-03-01,L'Aquila,estero,4151.0
2022-04-01,L'Aquila,estero,4670.0
2022-05-01,L'Aquila,estero,8735.0
2022-06-01,L'Aquila,estero,11199.0
2022-07-01,L'Aquila,estero,11754.0
2022-08-01,L'Aquila,estero,10110.0
2022-09-01,L'Aquila,estero,10939.0
2022-10-01,L'Aquila,estero,7489.0
2022-11-01,L'Aquila,estero,3258.0
2022-12-01,L'Aquila,estero,3746.0
2023-01-01,L'Aquila,estero,3031.0
2023-02-01,L'Aquila,estero,4988.0
2023-03-01,L'Aquila,estero,4844.0
2023-04-01,L'Aquila,estero,6357.0
2023-05-01,L'Aquila,estero,11611.0
2023-06-01,L'Aquila,estero,12473.0
2023-07-01,L'Aquila,estero,15473.0
2023-08-01,L'Aquila,estero,14707.0
2023-09-01,L'Aquila,estero,14311.0
2023-10-01,L'Aquila,estero,11293.0
2023-11-01,L'Aquila,estero,6433.0
2023-12-01,L'Aquila,estero,6608.0
2024-01-01,L'Aquila,estero,6142.0
2024-02-01,L'Aquila,estero,5636.0
2024-03-01,L'Aquila,estero,5930.0
2024-04-01,L'Aquila,estero,9164.0
2024-05-01,L'Aquila,estero,14159.0
2024-06-01,L'Aquila,estero,15320.0
2024-07-01,L'Aquila,estero,15943.0
2024-08-01,L'Aquila,estero,15775.0
2024-09-01,L'Aquila,estero,25982.0
2024-10-01,L'Aquila,estero,11812.0
2024-11-01,L'Aquila,estero,6686.0
2024-12-01,L'Aquila,estero,7821.0
2008-01-01,L'Aquila,italiani,166863.0
2008-02-01,L'Aquila,italiani,171986.0
2008-03-01,L'Aquila,italiani,119121.0
2008-04-01,L'Aquila,italiani,51090.0
2008-05-01,L'Aquila,italiani,52561.0
2008-06-01,L'Aquila,italiani,77804.0
2008-07-01,L'Aquila,italiani,177656.0
2008-08-01,L'Aquila,italiani,263252.0
2008-09-01,L'Aquila,italiani,65616.0
2008-10-01,L'Aquila,italiani,38277.0
2008-11-01,L'Aquila,italiani,33679.0
2008-12-01,L'Aquila,italiani,117651.0
2009-01-01,L'Aquila,italiani,183798.0
2009-02-01,L'Aquila,italiani,169010.0
2009-03-01,L'Aquila,italiani,116963.0
2009-04-01,L'Aquila,italiani,38853.0
2009-05-01,L'Aquila,italiani,46608.0
2009-06-01,L'Aquila,italiani,73700.0
2009-07-01,L'Aquila,italiani,149137.0
2009-08-01,L'Aquila,italiani,221841.0
2009-09-01,L'Aquila,italiani,79899.0
2009-10-01,L'Aquila,italiani,59104.0
2009-11-01,L'Aquila,italiani,51612.0
2009-12-01,L'Aquila,italiani,110338.0
2010-01-01,L'Aquila,italiani,159098.0
2010-02-01,L'Aquila,italiani,166053.0
2010-03-01,L'Aquila,italiani,103340.0
2010-04-01,L'Aquila,italiani,56540.0
2010-05-01,L'Aquila,italiani,47277.0
2010-06-01,L'Aquila,italiani,60002.0
2010-07-01,L'Aquila,italiani,155744.0
2010-08-01,L'Aquila,italiani,230429.0
2010-09-01,L'Aquila,italiani,55182.0
2010-10-01,L'Aquila,italiani,44313.0
2010-11-01,L'Aquila,italiani,34133.0
2010-12-01,L'Aquila,italiani,87930.0
2011-01-01,L'Aquila,italiani,154688.0
2011-02-01,L'Aquila,italiani,138467.0
2011-03-01,L'Aquila,italiani,112364.0
2011-04-01,L'Aquila,italiani,48797.0
2011-05-01,L'Aquila,italiani,39876.0
2011-06-01,L'Aquila,italiani,61428.0
2011-07-01,L'Aquila,italiani,146068.0
2011-08-01,L'Aquila,italiani,223374.0
2011-09-01,L'Aquila,italiani,61580.0
2011-10-01,L'Aquila,italiani,40777.0
2011-11-01,L'Aquila,italiani,33126.0
2011-12-01,L'Aquila,italiani,77430.0
