anno,sigla_provincia,comune,cod_istat,ambito,arrivi_italiani,arrivi_stranieri,presenze_italiane,presenze_straniere
2018,PO,Cantagallo,100001,Prato e Val Bisenzio,705,185,1229,805
2018,PO,Carmignano,100002,Prato e Val Bisenzio,10356,11259,19217,45248
2018,PO,Montemurlo,100003,Prato e Val Bisenzio,886,481,8044,1846
2018,PO,Poggio a Caiano,100004,Prato e Val Bisenzio,3570,6135,11683,12878
2018,PO,Prato,100005,Prato e Val Bisenzio,73586,148909,184786,260523
2018,PO,Vaiano,100006,Prato e Val Bisenzio,847,693,1644,3074
2018,PO,Vernio,100007,Prato e Val Bisenzio,1211,233,5839,949
2018,PT,Abetone Cutigliano,47023,Pistoia e Montagna Pistoiese,40845,2126,104384,6311
2018,PT,Agliana,47002,Pistoia e Montagna Pistoiese,1781,199,4206,405
2018,PT,Buggiano,47003,Valdinievole,904,2473,2300,9446
2018,PT,Chiesina Uzzanese,47022,Valdinievole,30051,1849,35496,2939
2018,PT,Lamporecchio,47005,Valdinievole,6413,13883,13443,88344
2018,PT,Larciano,47006,Valdinievole,4619,4105,9395,13485
2018,PT,Marliana,47007,Valdinievole,1028,867,2341,3422
2018,PT,Massa e Cozzile,47008,Valdinievole,296,921,684,6541
2018,PT,Monsummano Terme,47009,Valdinievole,9374,5693,19780,27076
2018,PT,Montale,47010,Pistoia e Montagna Pistoiese,1939,507,4908,2249
2018,PT,Montecatini Terme,47011,Valdinievole,197099,465647,472291,1236877
2018,PT,Pescia,47012,Valdinievole,9564,16126,17994,48243
2018,PT,Pieve a Nievole,47013,Valdinievole,3028,428,3473,2175
2018,PT,Pistoia,47014,Pistoia e Montagna Pistoiese,38693,29775,74674,85215
2018,PT,Ponte Buggianese,47016,Valdinievole,1263,658,2294,2079
2018,PT,Quarrata,47017,Pistoia e Montagna Pistoiese,3075,1710,7188,6347
2018,PT,Sambuca Pistoiese,47018,Pistoia e Montagna Pistoiese,378,13,1026,13
2018,PT,San Marcello Piteglio,47024,Pistoia e Montagna Pistoiese,12537,2313,49355,13228
2018,PT,Serravalle Pistoiese,47020,Pistoia e Montagna Pistoiese,12905,9933,35472,23087
2018,PT,Uzzano,47021,Valdinievole,424,602,1135,3133
2018,SI,Abbadia San Salvatore,52001,Amiata,25355,1087,74917,2537
2018,SI,Asciano,52002,Terre di Siena,19830,22174,38337,72632
2018,SI,Buonconvento,52003,Terre di Siena,4618,6077,17732,26143
2018,SI,Casole d'Elsa,52004,Terre di Valdelsa ed Etruria Volterrana,7225,17471,22606,90091
2018,SI,Castellina in Chianti,52005,Chianti,11313,35317,24194,141781
2018,SI,Castelnuovo Berardenga,52006,Chianti,21293,35990,50164,120134
2018,SI,Castiglione d'Orcia,52007,Val d'Orcia,13101,6508,30342,21704
2018,SI,Cetona,52008,Valdichiana Senese,2167,1898,7261,12666
2018,SI,Chianciano Terme,52009,Valdichiana Senese,160006,115809,407071,238367
2018,SI,Chiusdino,52010,Terre di Siena,7293,13730,18586,89912
2018,SI,Chiusi,52011,Valdichiana Senese,17841,14923,30194,28585
2018,SI,Colle di Val d'Elsa,52012,Terre di Valdelsa ed Etruria Volterrana,22539,22329,47254,72274
2018,SI,Gaiole in Chianti,52013,Chianti,7046,21320,13480,74775
2018,SI,Montalcino,52037,Val d'Orcia,27436,48212,55870,141180
2018,SI,Montepulciano,52015,Valdichiana Senese,46533,52902,90221,153420
2018,SI,Monteriggioni,52016,Terre di Valdelsa ed Etruria Volterrana,36845,31449,66054,107320
2018,SI,Monteroni d'Arbia,52017,Terre di Siena,8757,7617,19494,35401
2018,SI,Monticiano,52018,Terre di Siena,2496,1903,5373,7824
2018,SI,Murlo,52019,Terre di Siena,8836,12891,17568,46790
2018,SI,Piancastagnaio,52020,Amiata,1941,314,5909,1371
2018,SI,Pienza,52021,Val d'Orcia,25029,37693,53069,101729
2018,SI,Poggibonsi,52022,Terre di Valdelsa ed Etruria Volterrana,34230,39619,66848,102905
2018,SI,Radda in Chianti,52023,Chianti,12022,24898,22277,85167
2018,SI,Radicofani,52024,Val d'Orcia,3672,2786,7972,10677
2018,SI,Radicondoli,52025,Terre di Valdelsa ed Etruria Volterrana,653,3249,2265,24546
2018,SI,Rapolano Terme,52026,Terre di Siena,34097,9072,75496,38605
2018,SI,San Casciano dei Bagni,52027,Valdichiana Senese,15421,5844,34375,33865
2018,SI,San Gimignano,52028,Terre di Valdelsa ed Etruria Volterrana,67326,132144,135897,381657
2018,SI,San Quirico d'Orcia,52030,Val d'Orcia,48471,22257,106058,70269
2018,SI,Sarteano,52031,Valdichiana Senese,8009,12949,25354,82828
2018,SI,Siena,52032,Terre di Siena,217368,296966,453275,613676
2018,SI,Sinalunga,52033,Valdichiana Senese,12403,7710,23164,29044
2018,SI,Sovicille,52034,Terre di Siena,12316,13722,30202,65899
2018,SI,Torrita di Siena,52035,Valdichiana Senese,4246,6261,9361,27436
2018,SI,Trequanda,52036,Valdichiana Senese,7710,8599,21250,32995
